F1@10,F1@25,F1@50,Edit,Acc,Avg,Name
0,0,0,0.0,0.0,0.0,P10_webcam01_P10_pancake
0,0,0,0.0,0.0,0.0,P10_webcam01_P10_salat
0,0,0,0.0,0.0,0.0,P10_webcam01_P10_tea
0,0,0,0.0,0.0,0.0,P11_cam01_P11_cereals
0,0,0,0.0,0.0,0.0,P11_cam01_P11_coffee
0,0,0,0.0,0.0,0.0,P11_cam01_P11_friedegg
0,0,0,0.0,0.0,0.0,P11_cam01_P11_milk
0,0,0,0.0,0.0,0.0,P11_cam01_P11_pancake
0,0,0,0.0,0.0,0.0,P11_cam01_P11_salat
0,0,0,0.0,0.0,0.0,P11_cam01_P11_sandwich
0,0,0,0.0,0.0,0.0,P11_cam01_P11_scrambledegg
0,0,0,0.0,0.0,0.0,P11_cam01_P11_tea
0,0,0,0.0,0.0,0.0,P11_stereo01_P11_milk
0,0,0,0.0,0.0,0.0,P11_webcam01_P11_cereals
0,0,0,0.0,0.0,0.0,P11_webcam01_P11_coffee
0,0,0,0.0,0.0,0.0,P11_webcam01_P11_friedegg
0,0,0,0.0,0.0,0.0,P11_webcam01_P11_milk
0,0,0,0.0,0.0,0.0,P11_webcam01_P11_pancake
0,0,0,0.0,0.0,0.0,P11_webcam01_P11_salat
0,0,0,0.0,0.0,0.0,P11_webcam01_P11_sandwich
0,0,0,0.0,0.0,0.0,P11_webcam01_P11_scrambledegg
0,0,0,0.0,0.0,0.0,P11_webcam01_P11_tea
0,0,0,0.0,0.0,0.0,P12_cam01_P12_cereals
0,0,0,0.0,0.0,0.0,P12_cam01_P12_coffee
0,0,0,0.0,0.0,0.0,P12_cam01_P12_friedegg
0,0,0,0.0,0.0,0.0,P12_cam01_P12_milk
0,0,0,0.0,0.0,0.0,P12_cam01_P12_pancake
0,0,0,0.0,0.0,0.0,P12_cam01_P12_salat
0,0,0,0.0,0.0,0.0,P12_cam01_P12_sandwich
0,0,0,0.0,0.0,0.0,P12_cam01_P12_scrambledegg
0,0,0,0.0,0.0,0.0,P12_cam01_P12_tea
0,0,0,0.0,0.0,0.0,P12_stereo01_P12_friedegg
0,0,0,0.0,0.0,0.0,P12_stereo01_P12_salat
0,0,0,0.0,0.0,0.0,P12_webcam01_P12_cereals
0,0,0,0.0,0.0,0.0,P12_webcam01_P12_coffee
0,0,0,0.0,0.0,0.0,P12_webcam01_P12_friedegg
0,0,0,0.0,0.0,0.0,P12_webcam01_P12_milk
0,0,0,0.0,0.0,0.0,P12_webcam01_P12_pancake
0,0,0,0.0,0.0,0.0,P12_webcam01_P12_salat
0,0,0,0.0,0.0,0.0,P12_webcam01_P12_sandwich
